Start_Date,End_Date,Carrier_clean,Volume_Bus,Volume_Passenger
20/09/21,24/09/21,coachusa,123,3321
20/09/21,24/09/21,decamp,16,264
20/09/21,24/09/21,greyhound,56,1351
20/09/21,24/09/21,hceecommunity,97,1600
20/09/21,24/09/21,lakeland,25,673
20/09/21,24/09/21,martz,17,695
20/09/21,24/09/21,njtransit,2138,45660
20/09/21,24/09/21,peterpanbonanza,28,689
20/09/21,24/09/21,trailways,17,397
20/09/21,24/09/21,transbridge,17,547
27/09/21,01/10/21,academy,34,970
27/09/21,01/10/21,cjbuslines,0,0
27/09/21,01/10/21,coachusa,125,3351
27/09/21,01/10/21,decamp,16,274
27/09/21,01/10/21,greyhound,55,1306
27/09/21,01/10/21,hceecommunity,97,1600
27/09/21,01/10/21,lakeland,25,692
27/09/21,01/10/21,martz,17,688
27/09/21,01/10/21,njtransit,2146,45840
27/09/21,01/10/21,peterpanbonanza,29,761
27/09/21,01/10/21,trailways,17,395
27/09/21,01/10/21,transbridge,17,527
04/10/21,08/10/21,academy,34,1016
04/10/21,08/10/21,cjbuslines,0,0
04/10/21,08/10/21,coachusa,124,3498
04/10/21,08/10/21,decamp,16,277
04/10/21,08/10/21,greyhound,55,1219
04/10/21,08/10/21,hceecommunity,101,1555
04/10/21,08/10/21,lakeland,25,710
04/10/21,08/10/21,martz,17,708
04/10/21,08/10/21,njtransit,2153,48102
04/10/21,08/10/21,peterpanbonanza,29,720
04/10/21,08/10/21,trailways,17,411
04/10/21,08/10/21,transbridge,17,575
11/10/21,15/10/21,academy,34,1052
11/10/21,15/10/21,cjbuslines,0,0
11/10/21,15/10/21,coachusa,144,3623
11/10/21,15/10/21,decamp,16,288
11/10/21,15/10/21,greyhound,59,1538
11/10/21,15/10/21,hceecommunity,100,1660
11/10/21,15/10/21,lakeland,25,785
11/10/21,15/10/21,martz,17,755
11/10/21,15/10/21,njtransit,2147,48954
11/10/21,15/10/21,peterpanbonanza,29,922
11/10/21,15/10/21,trailways,24,879
11/10/21,15/10/21,transbridge,18,596
18/10/21,22/10/21,academy,33,1063
18/10/21,22/10/21,cjbuslines,0,0
18/10/21,22/10/21,coachusa,126,3626
18/10/21,22/10/21,decamp,16,277
